,optimizer,learning_rate,regularizer,regularizer_lambda,batch_size,rmse,epoch,train_time
214,Adam,0.0001,l2,0.001,2048,62656.386662349585,239,17.872310876846313
215,Adam,0.0001,l2,0.0001,2048,62434.51711730503,253,18.902469873428345
216,Adam,0.0001,l2,1e-05,2048,58195.51170696604,212,16.24558973312378
217,Adam,0.0001,l0,-inf,inf,116666.50891852209,17,1.7015390396118164
218,Adam,0.0001,l1,0.001,inf,112217.45256449115,36,3.4752564430236816
219,Adam,0.0001,l1,0.0001,inf,119431.42380609969,17,1.686194658279419
220,Adam,0.0001,l1,1e-05,inf,118169.92030894668,19,1.9785244464874268
221,Adam,0.0001,l2,0.001,inf,118097.42512392424,17,1.6710631847381592
222,Adam,0.0001,l2,0.0001,inf,113862.81960291945,16,1.582167387008667
223,Adam,0.0001,l2,1e-05,inf,115068.65354636213,18,1.8159348964691162
224,SGD,0.005,l0,-inf,32,60404.243757707874,191,73.63727307319641
225,SGD,0.005,l1,0.001,32,108603.24630610357,16,8.579675674438477
226,SGD,0.005,l1,0.0001,32,67592.22282602292,103,51.32094407081604
227,SGD,0.005,l1,1e-05,32,62479.62349189919,176,87.7930359840393
228,SGD,0.005,l2,0.001,32,67038.5640221218,159,82.26763534545898
229,SGD,0.005,l2,0.0001,32,61636.50895964138,319,165.39692401885986
230,SGD,0.005,l2,1e-05,32,63935.7363552612,308,159.6418206691742
231,SGD,0.005,l0,-inf,64,61196.79526803826,341,73.53566074371338
232,SGD,0.005,l1,0.001,64,103530.27337184221,27,7.800405263900757
233,SGD,0.005,l1,0.0001,64,67514.17313936591,192,52.21582794189453
234,SGD,0.005,l1,1e-05,64,61683.160359801026,346,94.1511583328247
235,SGD,0.005,l2,0.001,64,64280.56636274809,232,66.50626230239868
236,SGD,0.005,l2,0.0001,64,62125.56155446559,443,125.65739798545837
237,SGD,0.005,l2,1e-05,64,62808.03537932637,393,110.91836047172546
238,SGD,0.005,l0,-inf,128,63891.43224866229,499,64.71803712844849
239,SGD,0.005,l1,0.001,128,94676.68469391786,45,7.500240325927734
240,SGD,0.005,l1,0.0001,128,66344.60592100793,382,60.99693512916565
241,SGD,0.005,l1,1e-05,128,62563.54679649075,499,78.72882604598999
242,SGD,0.005,l2,0.001,128,65966.10678309006,464,75.33172750473022
243,SGD,0.005,l2,0.0001,128,63802.44921446458,499,81.34058928489685
244,SGD,0.005,l2,1e-05,128,61557.26025798431,499,81.60685515403748
245,SGD,0.005,l0,-inf,256,66273.67705714641,499,45.586785078048706
246,SGD,0.005,l1,0.001,256,95195.26613659234,85,9.036422729492188
247,SGD,0.005,l1,0.0001,256,68144.34510524181,499,53.16666841506958
248,SGD,0.005,l1,1e-05,256,65714.20804158002,499,53.331918239593506
249,SGD,0.005,l2,0.001,256,67013.81706737199,499,54.684834718704224
250,SGD,0.005,l2,0.0001,256,64544.135232151806,499,54.921016216278076
251,SGD,0.005,l2,1e-05,256,67534.79344064686,499,55.34107780456543
252,SGD,0.005,l0,-inf,512,68156.58460820606,499,37.226730823516846
253,SGD,0.005,l1,0.001,512,93986.39171127025,157,12.644156694412231
254,SGD,0.005,l1,0.0001,512,68723.65573547088,499,41.6763219833374
255,SGD,0.005,l1,1e-05,512,69363.78390632833,499,39.94147562980652
256,SGD,0.005,l2,0.001,512,70471.61008466891,499,41.17566394805908
257,SGD,0.005,l2,0.0001,512,68843.0790688898,499,41.22020411491394
258,SGD,0.005,l2,1e-05,512,67441.96712203552,499,41.088611125946045
259,SGD,0.005,l0,-inf,1024,71292.38777555499,499,36.11402440071106
260,SGD,0.005,l1,0.001,1024,98706.83042205557,314,24.127793312072754
261,SGD,0.005,l1,0.0001,1024,72433.42793102462,499,38.18374752998352
